station_id,external_id,external_source,is_managed,station_name,latitude,longitude,city,state,operator_name,connector_types,charger_powers_kw,charger_count,data_quality_score,source_last_verified_at,total_bookings_count,confirmed_bookings_count,cancelled_bookings_count,completed_sessions_count,active_sessions_count,avg_session_duration_minutes,total_energy_consumed_kwh,total_settled_revenue,attribution
1,,MANUAL,True,TORENT EV,23.0551776,72.5439939,Ahmedabad,Gujarat,Torent,CCS2;Type2,65.00;30.00,2,0,,8,1,0,8,0,1719.43,158.09,1610.28,EV-ChargeX Operational
158,,MANUAL,True,Zeon Charging Hub - Bhuj Station Road #3,23.2272833,69.6385888,Bhuj,Gujarat,TATA,CCS2;Type2,11.00;11.00;50.00,3,0,,,,,,,,,,EV-ChargeX Operational
159,,MANUAL,True,Tata Power Hub - Bhuj Airport Road #4,23.2277122,69.6489025,Bhuj,Gujarat,TATA,CCS2;CHAdeMO,50.00;150.00;50.00,3,0,,,,,,,,,,EV-ChargeX Operational
160,,MANUAL,True,Tata Power Hub - Bhuj College Road #5,23.2712757,69.6750699,Bhuj,Gujarat,TATA,CCS2;CHAdeMO,50.00;50.00;120.00;50.00,4,0,,,,,,,,,,EV-ChargeX Operational
161,,MANUAL,True,Adani Gas EV Hub - Bhuj Industrial Area Road #6,23.2785659,69.6750080,Bhuj,Gujarat,Torent,CCS2;Type2;GB/T,50.00;22.00;15.00;150.00,4,0,,,,,,,,,,EV-ChargeX Operational
162,,MANUAL,True,Torrent Power Hub - Bhuj Market Street #7,23.2228367,69.6475755,Bhuj,Gujarat,Torent,CCS2;GB/T,60.00;30.00;60.00;120.00,4,0,,,,,,,,,,EV-ChargeX Operational
163,,MANUAL,True,Jio-bp Pulse Hub - Bhuj City Center Road #8,23.2069698,69.6362071,Bhuj,Gujarat,TATA,CCS2;Type2;CHAdeMO;GB/T,22.00;22.00;50.00;50.00;150.00,5,0,,,,,,,,,,EV-ChargeX Operational
164,,MANUAL,True,Tata Power Hub - Bhuj Ring Road #9,23.2341581,69.6935858,Bhuj,Gujarat,TATA,Type2;CHAdeMO;GB/T,50.00;50.00;22.00,3,0,,,,,,,,,,EV-ChargeX Operational
165,,MANUAL,True,Tata Power Hub - Bhuj College Road #10,23.2791149,69.6810645,Bhuj,Gujarat,TATA,CCS2,50.00;150.00;150.00,3,0,,,,,,,,,,EV-ChargeX Operational
166,,MANUAL,True,Adani Gas EV Hub - Gandhidham Market Street #1,23.0860953,70.1471514,Gandhidham,Gujarat,Torent,CCS2;GB/T,150.00;30.00;150.00,3,0,,,,,,,,,,EV-ChargeX Operational
167,,MANUAL,True,Jio-bp Pulse Hub - Gandhidham Link Road #2,23.1044533,70.0911070,Gandhidham,Gujarat,TATA,CCS2;Type2,7.20;120.00,2,0,,,,,,,,,,EV-ChargeX Operational
