power_output_kw,hour,day_of_week,duration_mins
150.0,20,2,15.0
50.0,11,3,15.0
22.0,10,3,15.0
50.0,14,3,27.0
50.0,14,3,42.0
50.0,15,3,33.0
7.2,12,3,345.0
30.0,3,3,30.0
7.2,14,3,315.0
15.0,9,3,113.0
30.0,2,3,70.0
7.2,16,3,208.0
50.0,12,3,15.0
50.0,8,3,15.0
150.0,6,3,16.0
50.0,4,3,31.0
22.0,16,3,47.0
50.0,5,3,15.0
30.0,5,3,98.0
50.0,17,3,17.0
22.0,7,3,131.0
60.0,2,3,15.0
60.0,4,3,34.0
120.0,7,3,15.0
7.2,1,3,23.0
50.0,3,3,15.0
120.0,6,3,23.0
50.0,15,3,15.0
7.2,6,3,195.0
150.0,20,2,15.0
150.0,22,2,15.0
50.0,17,3,15.0
30.0,12,3,15.0
150.0,0,3,15.0
15.0,0,3,180.0
50.0,19,2,31.0
15.0,22,2,15.0
50.0,11,3,36.0
30.0,0,3,15.0
11.0,6,3,148.0
50.0,6,3,15.0
30.0,13,3,15.0
150.0,6,3,15.0
7.2,3,3,21.0
50.0,15,3,15.0
7.2,1,3,360.0
50.0,14,3,23.0
30.0,14,3,15.0
60.0,13,3,15.0
50.0,23,2,15.0
50.0,14,3,46.0
50.0,2,3,48.0
22.0,11,3,81.0
50.0,3,3,52.0
150.0,8,3,15.0
7.2,19,2,200.0
50.0,0,3,41.0
50.0,5,3,45.0
30.0,5,3,61.0
150.0,14,3,15.0
7.2,14,3,292.0
50.0,8,3,54.0
60.0,23,2,46.0
30.0,14,3,80.0
50.0,4,3,52.0
120.0,15,3,19.0
30.0,5,3,78.0
22.0,7,3,94.0
120.0,4,3,15.0
50.0,4,3,15.0
50.0,6,3,15.0
50.0,14,3,15.0
7.2,6,3,222.0
50.0,3,3,15.0
60.0,13,3,33.0
11.0,23,2,15.0
60.0,13,3,15.0
50.0,13,3,31.0
7.2,12,3,200.0
150.0,4,3,15.0
11.0,13,3,150.0
150.0,5,3,15.0
15.0,12,3,111.0
150.0,13,3,15.0
150.0,7,3,15.0
50.0,5,3,15.0
50.0,4,3,15.0
150.0,13,3,15.0
22.0,8,3,15.0
60.0,13,3,38.0
50.0,22,2,30.0
50.0,20,2,15.0
50.0,14,3,15.0
11.0,12,3,15.0
50.0,14,3,15.0
50.0,5,3,15.0
50.0,2,3,60.0
60.0,15,3,26.0
150.0,0,3,15.0
50.0,0,3,15.0
60.0,4,3,27.0
11.0,5,3,149.0
7.2,7,3,220.0
22.0,12,3,15.0
11.0,13,4,15.0
50.0,14,4,15.0
22.0,23,3,15.0
22.0,13,4,15.0
30.0,12,4,15.0
50.0,12,4,20.0
7.2,3,4,286.0
15.0,13,4,100.0
120.0,4,4,15.0
30.0,9,4,15.0
50.0,22,3,15.0
120.0,1,4,17.0
7.2,8,4,360.0
150.0,22,3,15.0
50.0,2,4,15.0
50.0,5,4,38.0
50.0,20,3,49.0
22.0,5,4,50.0
22.0,4,4,97.0
50.0,4,4,31.0
150.0,12,4,15.0
150.0,0,4,15.0
120.0,10,4,15.0
120.0,14,4,15.0
50.0,0,4,15.0
50.0,15,4,26.0
150.0,11,4,15.0
50.0,2,4,41.0
60.0,7,4,15.0
50.0,8,4,26.0
120.0,22,3,15.0
60.0,10,4,42.0
15.0,13,4,15.0
11.0,13,4,155.0
120.0,4,4,15.0
50.0,13,4,51.0
7.2,14,4,19.0
11.0,11,4,15.0
22.0,12,4,15.0
30.0,6,4,58.0
150.0,11,4,15.0
50.0,18,3,64.0
15.0,0,4,15.0
50.0,20,3,15.0
22.0,21,3,78.0
50.0,7,4,15.0
15.0,13,4,73.0
50.0,7,4,26.0
50.0,9,4,15.0
50.0,11,4,15.0
11.0,15,4,15.0
7.2,5,4,17.0
7.2,22,3,15.0
30.0,17,4,102.0
50.0,4,4,59.0
50.0,13,4,15.0
50.0,12,4,15.0
50.0,12,4,15.0
7.2,12,4,158.0
50.0,4,4,34.0
7.2,15,4,121.0
65.0,12,4,44.0
30.0,13,4,106.0
50.0,2,4,27.0
15.0,7,4,90.0
22.0,10,4,126.0
22.0,19,3,15.0
50.0,15,4,40.0
60.0,3,4,15.0
50.0,11,4,15.0
50.0,13,4,39.0
50.0,2,4,45.0
120.0,20,3,16.0
50.0,14,4,39.0
15.0,18,4,15.0
30.0,7,4,75.0
11.0,3,4,15.0
65.0,15,4,15.0
30.0,15,4,50.0
22.0,6,4,15.0
50.0,3,4,44.0
30.0,1,4,50.0
60.0,15,4,15.0
30.0,12,4,110.0
50.0,5,4,15.0
50.0,7,4,31.0
50.0,12,4,31.0
7.2,3,4,21.0
50.0,7,4,38.0
50.0,13,4,40.0
22.0,6,4,59.0
50.0,14,4,18.0
30.0,16,4,15.0
50.0,1,4,43.0
50.0,0,4,43.0
7.2,11,4,26.0
22.0,11,4,78.0
30.0,14,4,47.0
15.0,12,4,15.0
50.0,14,4,53.0
15.0,23,3,15.0
60.0,18,4,47.0
50.0,15,4,53.0
30.0,19,3,15.0
50.0,3,4,64.0
150.0,13,4,15.0
150.0,5,4,17.0
11.0,15,4,15.0
11.0,16,4,218.0
50.0,3,4,15.0
15.0,6,4,162.0
60.0,15,4,15.0
15.0,13,4,207.0
150.0,17,4,15.0
7.2,5,4,16.0
30.0,3,4,92.0
50.0,12,4,15.0
50.0,7,4,35.0
50.0,8,4,21.0
30.0,3,4,50.0
7.2,12,5,360.0
22.0,12,5,15.0
50.0,12,5,15.0
15.0,5,5,161.0
120.0,23,4,15.0
50.0,5,5,15.0
50.0,3,5,40.0
11.0,8,5,15.0
120.0,13,5,16.0
50.0,4,5,52.0
50.0,6,5,15.0
120.0,6,5,15.0
30.0,5,5,51.0
50.0,15,5,46.0
60.0,17,5,30.0
50.0,14,5,15.0
30.0,7,5,53.0
50.0,1,5,15.0
50.0,19,4,41.0
60.0,13,5,23.0
7.2,14,5,360.0
50.0,8,5,15.0
50.0,6,5,53.0
60.0,11,5,50.0
11.0,5,5,15.0
60.0,23,4,30.0
30.0,6,5,15.0
15.0,12,5,102.0
22.0,20,4,154.0
50.0,14,5,40.0
30.0,14,5,50.0
50.0,13,5,15.0
50.0,23,4,70.0
50.0,7,5,38.0
50.0,17,5,15.0
60.0,12,5,15.0
150.0,23,4,15.0
50.0,4,5,50.0
60.0,10,5,33.0
50.0,4,5,15.0
50.0,19,4,15.0
150.0,15,5,15.0
22.0,14,5,101.0
150.0,15,5,15.0
7.2,17,5,22.0
22.0,7,5,148.0
15.0,15,5,15.0
22.0,3,5,144.0
60.0,6,5,15.0
50.0,12,5,22.0
30.0,9,5,83.0
50.0,15,5,15.0
50.0,14,5,15.0
22.0,23,4,15.0
50.0,7,5,42.0
30.0,13,5,56.0
50.0,6,5,37.0
7.2,6,5,162.0
11.0,5,5,274.0
50.0,5,5,15.0
11.0,4,5,15.0
50.0,21,4,15.0
22.0,13,5,15.0
50.0,0,5,15.0
50.0,11,5,20.0
50.0,4,5,33.0
50.0,13,5,15.0
30.0,2,5,15.0
60.0,12,5,36.0
50.0,14,5,31.0
120.0,12,5,23.0
150.0,14,5,15.0
60.0,13,5,22.0
50.0,13,5,15.0
7.2,11,5,360.0
50.0,5,5,61.0
50.0,7,5,55.0
50.0,23,4,68.0
150.0,12,5,15.0
60.0,15,5,25.0
50.0,8,5,48.0
11.0,19,4,191.0
11.0,21,4,15.0
60.0,9,5,36.0
50.0,12,5,26.0
11.0,12,5,15.0
150.0,0,5,15.0
50.0,8,5,37.0
120.0,23,4,15.0
120.0,6,5,15.0
50.0,2,5,25.0
50.0,19,4,50.0
50.0,14,5,15.0
50.0,14,5,28.0
11.0,13,5,15.0
50.0,7,5,15.0
